EV, LA, Hits, Outs
102, -86, 19.0, 45.0
103, -86, 15.0, 40.0
104, -86, 16.0, 49.0
105, -86, 14.0, 42.0
106, -86, 17.0, 46.0
107, -86, 9.0, 42.0
108, -86, 15.0, 49.0
109, -86, 14.0, 47.0
110, -86, 15.0, 47.0
111, -86, 13.0, 44.0
112, -86, 18.0, 45.0
113, -86, 16.0, 37.0
114, -86, 18.0, 43.0
115, -86, 20.0, 48.0
116, -86, 17.0, 40.0
117, -86, 23.0, 55.0
118, -86, 17.0, 44.0
119, -86, 15.0, 37.0
120, -86, 14.0, 40.0
121, -86, 20.0, 48.0
122, -86, 12.0, 44.0
123, -86, 12.0, 43.0
124, -86, 15.0, 35.0
0, -85, 8.0, 54.0
1, -85, 7.0, 50.0
2, -85, 8.0, 48.0
3, -85, 7.0, 48.0
4, -85, 6.0, 46.0
5, -85, 8.0, 51.0
6, -85, 5.0, 45.0
7, -85, 5.0, 46.0
8, -85, 5.0, 51.0
9, -85, 6.0, 57.0
10, -85, 7.0, 53.0
11, -85, 5.0, 56.0
12, -85, 5.0, 50.0
13, -85, 5.0, 47.0
14, -85, 5.0, 46.0
15, -85, 5.0, 45.0
16, -85, 5.0, 56.0
17, -85, 4.0, 51.0
18, -85, 3.0, 47.0
19, -85, 3.0, 57.0
20, -85, 4.0, 49.0
21, -85, 3.0, 56.0
22, -85, 6.0, 60.0
23, -85, 4.0, 49.0
24, -85, 5.0, 50.0
25, -85, 4.0, 53.0
26, -85, 4.0, 49.0
27, -85, 5.0, 60.0
28, -85, 2.0, 52.0
29, -85, 2.0, 58.0
30, -85, 0.0, 50.0
31, -85, 0.0, 60.0
32, -85, 0.0, 50.0
33, -85, 1.0, 50.0
34, -85, 1.0, 63.0
35, -85, 2.0, 48.0
36, -85, 1.0, 57.0
37, -85, 3.0, 55.0
38, -85, 3.0, 53.0
39, -85, 4.0, 73.0
40, -85, 4.0, 62.0
41, -85, 6.0, 56.0
42, -85, 6.0, 59.0
43, -85, 6.0, 67.0
44, -85, 4.0, 60.0
45, -85, 5.0, 70.0
46, -85, 7.0, 67.0
47, -85, 4.0, 51.0
48, -85, 4.0, 56.0
49, -85, 2.0, 48.0
50, -85, 6.0, 75.0
51, -85, 2.0, 50.0
52, -85, 4.0, 52.0
53, -85, 6.0, 81.0
54, -85, 4.0, 77.0
55, -85, 5.0, 69.0
56, -85, 3.0, 69.0
57, -85, 4.0, 49.0
58, -85, 6.0, 62.0
59, -85, 9.0, 60.0
60, -85, 8.0, 55.0
61, -85, 11.0, 55.0
62, -85, 10.0, 45.0
63, -85, 11.0, 45.0
64, -85, 10.0, 43.0
65, -85, 13.0, 59.0
66, -85, 10.0, 54.0
67, -85, 5.0, 45.0
68, -85, 8.0, 47.0
69, -85, 9.0, 47.0
70, -85, 7.0, 53.0
71, -85, 6.0, 55.0
72, -85, 5.0, 47.0
73, -85, 7.0, 58.0
74, -85, 5.0, 50.0
75, -85, 5.0, 46.0
76, -85, 7.0, 61.0
77, -85, 5.0, 46.0
78, -85, 11.0, 54.0
79, -85, 8.0, 47.0
80, -85, 12.0, 54.0
81, -85, 9.0, 50.0
82, -85, 9.0, 49.0
83, -85, 9.0, 43.0
84, -85, 8.0, 44.0
85, -85, 14.0, 48.0
86, -85, 8.0, 45.0
87, -85, 13.0, 43.0
88, -85, 15.0, 56.0
89, -85, 9.0, 43.0
90, -85, 14.0, 46.0
91, -85, 16.0, 40.0
92, -85, 14.0, 36.0
93, -85, 18.0, 43.0
94, -85, 16.0, 35.0
95, -85, 19.0, 46.0
96, -85, 18.0, 42.0
97, -85, 19.0, 47.0
98, -85, 18.0, 38.0
99, -85, 24.0, 43.0
100, -85, 17.0, 37.0
101, -85, 19.0, 45.0
102, -85, 15.0, 40.0
103, -85, 16.0, 49.0
104, -85, 14.0, 42.0
105, -85, 17.0, 46.0
106, -85, 9.0, 42.0
107, -85, 15.0, 49.0
108, -85, 14.0, 47.0
109, -85, 15.0, 47.0
110, -85, 13.0, 44.0
111, -85, 18.0, 45.0
112, -85, 16.0, 37.0
113, -85, 18.0, 43.0
114, -85, 20.0, 48.0
115, -85, 17.0, 40.0
116, -85, 23.0, 55.0
117, -85, 17.0, 44.0
118, -85, 15.0, 37.0
119, -85, 14.0, 40.0
120, -85, 20.0, 48.0
121, -85, 12.0, 44.0
122, -85, 12.0, 43.0
123, -85, 15.0, 35.0
124, -85, 14.0, 36.0
0, -84, 6.0, 48.0
1, -84, 8.0, 54.0
2, -84, 7.0, 50.0
3, -84, 8.0, 48.0
4, -84, 7.0, 48.0
5, -84, 6.0, 46.0
6, -84, 8.0, 51.0
7, -84, 5.0, 45.0
8, -84, 5.0, 46.0
9, -84, 5.0, 51.0
10, -84, 6.0, 57.0
11, -84, 7.0, 53.0
12, -84, 5.0, 56.0
13, -84, 5.0, 49.0
14, -84, 5.0, 47.0
15, -84, 5.0, 45.0
16, -84, 5.0, 45.0
17, -84, 5.0, 57.0
18, -84, 4.0, 53.0
19, -84, 3.0, 47.0
20, -84, 3.0, 56.0
21, -84, 4.0, 49.0
22, -84, 3.0, 57.0
23, -84, 6.0, 58.0
24, -84, 4.0, 48.0
25, -84, 5.0, 50.0
26, -84, 4.0, 49.0
27, -84, 4.0, 50.0
28, -84, 5.0, 60.0
29, -84, 2.0, 51.0
30, -84, 2.0, 53.0
31, -84, 2.0, 60.0
32, -84, 0.0, 59.0
33, -84, 1.0, 65.0
34, -84, 1.0, 67.0
35, -84, 1.0, 61.0
36, -84, 2.0, 57.0
37, -84, 1.0, 54.0
38, -84, 3.0, 52.0
39, -84, 3.0, 51.0
40, -84, 4.0, 72.0
41, -84, 6.0, 65.0
42, -84, 9.0, 70.0
43, -84, 7.0, 74.0
44, -84, 4.0, 48.0
45, -84, 8.0, 78.0
46, -84, 6.0, 52.0
47, -84, 5.0, 62.0
48, -84, 7.0, 51.0
49, -84, 6.0, 50.0
50, -84, 3.0, 52.0
51, -84, 4.0, 55.0
52, -84, 4.0, 60.0
53, -84, 3.0, 52.0
54, -84, 4.0, 49.0
55, -84, 1.0, 52.0
56, -84, 4.0, 53.0
57, -84, 2.0, 50.0
58, -84, 2.0, 49.0
