EV, LA, Hits, Outs
12, -82, 4.0, 51.0
13, -82, 4.0, 60.0
14, -82, 4.0, 61.0
15, -82, 4.0, 62.0
16, -82, 2.0, 62.0
17, -82, 2.0, 50.0
18, -82, 1.0, 55.0
19, -82, 2.0, 60.0
20, -82, 2.0, 55.0
21, -82, 2.0, 51.0
22, -82, 3.0, 54.0
23, -82, 4.0, 54.0
24, -82, 4.0, 47.0
25, -82, 7.0, 59.0
26, -82, 3.0, 47.0
27, -82, 3.0, 53.0
28, -82, 4.0, 56.0
29, -82, 5.0, 48.0
30, -82, 5.0, 49.0
31, -82, 5.0, 56.0
32, -82, 4.0, 52.0
33, -82, 5.0, 55.0
34, -82, 5.0, 64.0
35, -82, 4.0, 58.0
36, -82, 3.0, 59.0
37, -82, 3.0, 62.0
38, -82, 4.0, 52.0
39, -82, 6.0, 69.0
40, -82, 3.0, 53.0
41, -82, 3.0, 53.0
42, -82, 2.0, 69.0
43, -82, 3.0, 70.0
44, -82, 1.0, 65.0
45, -82, 4.0, 73.0
46, -82, 3.0, 47.0
47, -82, 5.0, 53.0
48, -82, 10.0, 58.0
49, -82, 10.0, 61.0
50, -82, 13.0, 49.0
51, -82, 17.0, 59.0
52, -82, 7.0, 45.0
53, -82, 11.0, 60.0
54, -82, 10.0, 67.0
55, -82, 7.0, 71.0
56, -82, 9.0, 69.0
57, -82, 8.0, 68.0
58, -82, 5.0, 73.0
59, -82, 6.0, 61.0
60, -82, 5.0, 67.0
61, -82, 5.0, 53.0
62, -82, 8.0, 60.0
63, -82, 8.0, 56.0
64, -82, 9.0, 50.0
65, -82, 16.0, 75.0
66, -82, 12.0, 59.0
67, -82, 11.0, 49.0
68, -82, 5.0, 50.0
69, -82, 7.0, 55.0
70, -82, 8.0, 50.0
71, -82, 10.0, 57.0
72, -82, 6.0, 47.0
73, -82, 5.0, 45.0
74, -82, 7.0, 53.0
75, -82, 6.0, 48.0
76, -82, 7.0, 43.0
77, -82, 8.0, 48.0
78, -82, 10.0, 56.0
79, -82, 11.0, 62.0
