Braun, Ryan,460075,2016,564,156,100,23,3,30,17.4,8.2,.305,.282,20.9,50.9,4.4,27.4
Butera, Drew,460077,2016,133,35,20,10,1,4,27.1,6,.285,.218,25,49.2,4.64,25.6
Gordon, Alex,460086,2016,506,98,63,16,2,17,29.2,10.3,.220,.230,29.4,43.5,4.5,26.2
Reimold, Nolan,460099,2016,227,45,29,9,1,6,27.3,9.7,.222,.211,28.6,41.4,4.39,27.8
Gimenez, Chris,460269,2016,155,30,22,4,0,4,26.5,6.5,.216,.228,25.3,48.1,4.73,24.9
Gómez, Carlos,460576,2016,453,95,59,22,1,13,30,7.5,.231,.209,32.7,53,4.27,28.8
Moss, Brandon,461235,2016,464,93,44,19,2,28,30.4,8.4,.225,.232,35.3,50.8,4.46,26.2
Kemp, Matt,461314,2016,672,167,93,39,0,35,23.2,5.4,.268,.267,29.4,54.9,4.76,25.3
Venable, Will,461416,2016,19,1,0,1,0,0,26.3,0,.056,.175,31.4,54.7,,24.6
Gonzalez, Gio,461829,2016,59,7,5,2,0,0,40.7,0,.135,.140,43,64.4,,21.7
Plouffe, Trevor,461858,2016,344,83,57,13,1,12,17.4,5.5,.260,.259,19.8,45.4,4.56,26.2
Romine, Andrew,461865,2016,194,41,32,5,2,2,19.6,6.7,.236,.253,25.5,56.3,4.33,28.0
Andrus, Elvis,462101,2016,568,153,107,31,7,8,12.3,8.3,.302,.278,16.1,43.4,4.38,27.4
Petit, Gregorio,463610,2016,223,50,34,13,1,2,22.9,6.7,.245,.230,25.8,51.6,4.57,26.3
Cervelli, Francisco,465041,2016,393,86,70,14,1,1,18.3,14.2,.264,.247,22,38.1,4.57,25.7
Florimón, Pedro,465753,2016,25,5,3,1,1,0,48,4,.208,.120,38,49.5,,28.3
Cabrera, Melky,466320,2016,646,175,114,42,5,14,10.7,7.3,.296,.276,14,49,4.49,25.6
Bonifácio, Emilio,466988,2016,43,8,8,0,0,0,27.9,7,.211,.219,33.3,51.3,4.02,28.8
Ramos, Wilson,467092,2016,523,148,101,25,0,22,15.1,6.7,.307,.278,19.1,50,4.86,24.1
Nova, Iván,467100,2016,28,3,3,0,0,0,64.3,0,.115,.053,43.4,57,,
Santana, Carlos,467793,2016,688,151,83,31,3,34,14.4,14.4,.259,.275,19.2,39.2,4.53,25.9
Parra, Gerardo,467827,2016,381,93,56,27,3,7,19.2,2.4,.253,.247,20.9,55.7,4.31,26.4
Chacín, Jhoulys,468504,2016,10,3,3,0,0,0,10,0,.300,.291,13.3,48.4,,
Montero, Miguel,471083,2016,284,52,35,8,1,8,20.4,13.4,.216,.196,24.6,49.4,4.87,23.6
González, Carlos,471865,2016,632,174,105,42,2,25,20.4,7.3,.298,.275,30.7,51.3,4.3,27.0
Valbuena, Luis,472528,2016,342,76,45,17,1,13,23.7,12.9,.260,.228,24.8,43.8,4.61,25.6
McBride, Matt,473724,2016,44,9,6,3,0,0,22.7,2.3,.209,.231,21.4,49.1,,27.4
Conger, Hank,474233,2016,137,24,16,5,0,3,29.2,8.8,.194,.171,33.7,48.7,4.89,24.0
